35,11
33,13
33,11
0,0
38,14
36,14
32,12
0,0
39,10
43,11
49,10
0,0
42,11
37,13
29,12
0,0
49,14
31,11
38,13
0,0
36,15
36,12
38,13
0,0
32,12
35,11
42,13
0,0
35,13
33,13
40,16
0,0
40,11
35,13
38,12
0,0
43,14
35,14
51,11
0,0
40,13
33,12
32,12
0,0
36,13
37,13
45,11
0,0
37,12
45,11
40,13
0,0
33,12
38,11
33,14
0,0
38,13
33,10
38,11
0,0
34,13
39,13
39,12
0,0
31,10
34,13
35,10
0,0
33,12
37,13
42,13
0,0
39,15
39,12
50,16
0,0
33,12
40,13
36,10
0,0
40,12
35,13
35,14
0,0
36,13
31,12
42,14
0,0
35,13
33,13
29,11
0,0
40,14
39,14
38,13
0,0
34,15
40,13
41,10
0,0
35,12
35,11
44,15
0,0
41,14
39,11
39,14
0,0
34,13
46,15
39,12
0,0
42,15
37,13
39,12
0,0
37,13
30,14
42,13
0,0
37,12
35,13
42,13
0,0
41,13
40,15
39,11
0,0
31,12
36,14
40,12
0,0
40,15
44,13
38,10
0,0
36,10
30,11
39,13
0,0
33,15
34,11
33,14
0,0
34,11
42,10
36,11
0,0
42,13
38,15
36,13
0,0
31,13
34,13
38,12
0,0
32,12
34,10
32,13
0,0
34,14
34,12
36,12
0,0
40,10
45,13
45,12
0,0
36,13
41,13
35,13
0,0
35,15
37,13
42,15
0,0
36,10
41,13
34,13
0,0
0,0
0,0
37,13
0,0
0,0
