35,11
33,13
32,11
0,0
37,14
36,14
32,12
0,0
34,10
39,11
40,10
0,0
36,11
35,13
29,12
0,0
42,14
30,11
36,13
0,0
36,15
33,12
38,13
0,0
32,12
33,11
38,13
0,0
35,13
33,13
38,16
0,0
35,11
35,13
36,12
0,0
40,14
35,14
44,11
0,0
38,13
33,12
32,12
0,0
36,13
35,13
39,11
0,0
35,12
40,11
36,13
0,0
33,12
33,11
33,14
0,0
36,13
32,10
34,11
0,0
34,13
37,13
36,12
0,0
31,10
34,13
33,10
0,0
33,12
35,13
38,13
0,0
38,15
37,12
46,16
0,0
33,12
38,13
33,10
0,0
36,12
35,13
35,14
0,0
36,13
31,12
42,14
0,0
34,13
33,13
28,11
0,0
40,14
37,14
37,13
0,0
34,15
38,13
37,10
0,0
34,12
34,11
41,15
0,0
39,14
38,11
37,14
0,0
34,13
42,15
37,12
0,0
38,15
33,13
37,12
0,0
35,13
30,14
40,13
0,0
36,12
35,13
38,13
0,0
40,13
40,15
35,11
0,0
30,12
36,14
37,12
0,0
38,15
41,13
36,10
0,0
34,10
29,11
38,13
0,0
33,15
33,11
33,14
0,0
33,11
37,10
33,11
0,0
38,13
37,15
36,13
0,0
31,13
34,13
36,12
0,0
32,12
33,10
32,13
0,0
34,14
32,12
35,12
0,0
37,10
39,13
42,12
0,0
36,13
37,13
33,13
0,0
35,15
37,13
39,15
0,0
33,10
38,13
34,13
0,0
0,0
0,0
37,13
0,0
0,0
